,movie_title,release_date,genre,age_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,1937-12-21,Musical,All,184925485,5228953251
1,Pinocchio,1940-02-09,Adventure,All,84300000,2188229052
2,Fantasia,1940-11-13,Musical,All,83320000,2187090808
3,Song of the South,1946-11-12,Adventure,All,65000000,1078510579
4,Cinderella,1950-02-15,Drama,All,85000000,920608730
6,Lady and the Tramp,1955-06-22,Drama,All,93600000,1236035515
8,101 Dalmatians,1961-01-25,Comedy,All,153000000,1362870985
10,Babes in Toyland,1961-12-14,Musical,All,10218316,124841160
11,Bon Voyage!,1962-05-17,Comedy,Not Rated,9230769,109581646
13,The Jungle Book,1967-10-18,Musical,Not Rated,141843000,789612346
15,The Aristocats,1970-04-24,Musical,All,55675257,255161499
37,Splash,1984-03-09,Comedy,Parent Guidance,62599495,157057661
45,Down and Out in Beverly Hills,1986-01-31,Comedy,-17 & Parent Guidance,62134225,141183693
47,Ruthless People,1986-06-27,Comedy,-17 & Parent Guidance,71624879,162748712
51,The Color of Money,1986-10-17,Drama,-17 & Parent Guidance,52293000,117957323
52,Outrageous Fortune,1987-01-30,Comedy,-17 & Parent Guidance,52864741,113976921
57,Stakeout,1987-08-05,Comedy,-17 & Parent Guidance,65673233,141592160
60,3 Men and a Baby,1987-11-25,Comedy,Parent Guidance,167780960,353334607
61,Good Morning Vietnam,1987-12-23,Comedy,-17 & Parent Guidance,123922370,254414837
64,Return to Snowy River,1988-04-15,Adventure,Parent Guidance,13687027,28073384
65,Big Business,1988-06-10,Comedy,Parent Guidance,40150487,82352451
66,Who Framed Roger Rabbit?,1988-06-22,Comedy,Parent Guidance,154112492,316250084
67,Cocktail,1988-07-29,Drama,-17 & Parent Guidance,78222753,160442289
71,Ernest Saves Christmas,1988-11-11,Comedy,Parent Guidance,28202109,57845202
72,Oliver & Company,1988-11-18,Adventure,All,49576671,102254492
73,Beaches,1988-12-21,Drama,+13 & Parent Guidance,57041866,120381757
74,Three Fugitives,1989-01-27,Comedy,+13 & Parent Guidance,40590000,85757817
75,New York Stories,1989-03-01,Drama,Parent Guidance,10763469,22740861
77,Dead Poets Society,1989-06-02,Drama,Parent Guidance,95860116,202531517
